"","V1","V2","V3","V4","V5"
"1",4,2,2,2,2
"2",2,3,4,2,4
"3",1,2,2,3,3
"4",3,1,1,2,4
"5",3,2,2,3,3
"6",2,1,3,2,1
"7",1,1,4,2,2
"8",3,1,3,2,2
"9",1,2,4,2,1
"10",2,2,2,3,2
"11",3,2,4,2,3
"12",3,1,1,2,1
"13",1,1,2,1,1
"14",3,2,2,1,2
"15",1,3,2,3,4
"16",2,1,2,1,2
"17",2,2,3,1,2
"18",2,2,3,3,2
"19",2,1,1,2,2
"20",1,2,2,3,4
"21",1,3,2,2,4
"22",2,3,2,1,1
"23",4,3,4,2,4
"24",3,2,4,3,3
"25",2,2,4,3,2
"26",4,3,3,3,4
"27",1,1,3,1,4
"28",1,1,2,2,2
"29",2,2,3,2,3
"30",3,2,4,2,3
"31",4,2,2,2,2
"32",1,1,2,1,4
"33",2,1,2,1,2
"34",3,3,2,2,2
"35",1,1,1,1,1
"36",1,2,1,2,1
"37",1,3,1,2,3
"38",4,1,3,1,2
"39",4,2,3,2,2
"40",1,1,1,1,1
"41",4,2,3,1,4
"42",2,1,1,1,2
"43",1,2,2,1,1
"44",1,2,1,2,4
"45",3,3,3,2,3
"46",3,2,2,2,2
"47",1,1,4,1,1
"48",4,1,1,2,3
"49",3,1,2,2,1
"50",4,1,2,2,3
"51",2,2,3,1,4
"52",3,3,4,3,4
"53",1,2,2,2,2
"54",4,3,4,2,2
"55",4,2,1,2,4
"56",1,2,1,2,3
"57",1,1,1,2,1
"58",2,2,2,1,2
"59",2,3,3,1,2
"60",3,1,4,2,4
"61",2,2,2,2,1
"62",2,1,3,2,4
"63",2,1,1,2,3
"64",2,1,4,2,3
"65",3,2,2,1,3
"66",4,2,3,2,4
"67",4,2,2,1,4
"68",4,1,1,3,3
"69",2,2,3,2,2
"70",2,1,2,2,3
"71",4,1,4,2,1
"72",1,1,3,1,1
"73",1,3,3,2,3
"74",1,1,1,1,2
"75",4,2,2,1,1
"76",4,1,4,2,3
"77",1,2,3,1,3
"78",3,3,2,3,1
"79",4,3,4,3,3
"80",2,3,2,2,3
"81",3,3,4,3,4
"82",3,3,3,1,3
"83",3,1,3,2,1
"84",2,3,3,2,2
"85",2,2,3,2,4
"86",3,1,1,2,1
"87",2,2,1,2,1
"88",4,3,2,2,4
"89",1,2,2,1,2
"90",2,2,2,1,3
"91",1,1,3,3,2
"92",2,1,1,3,1
"93",2,2,2,2,2
"94",2,2,3,2,2
"95",3,2,1,2,2
"96",2,1,3,2,4
"97",2,2,2,2,3
"98",1,1,1,2,3
"99",4,3,4,3,2
"100",3,2,4,2,3
"101",4,3,3,3,4
"102",1,1,3,3,2
"103",4,2,2,3,1
"104",4,3,4,2,4
"105",3,3,3,3,4
"106",1,3,2,2,3
"107",3,3,4,3,4
"108",4,3,1,2,2
"109",4,1,1,1,2
"110",3,2,3,2,3
"111",4,3,4,2,4
"112",4,2,2,2,2
"113",2,1,1,3,3
"114",4,2,4,3,3
"115",4,3,4,3,4
"116",4,3,4,2,3
"117",4,2,4,1,3
"118",2,1,1,2,1
"119",1,1,4,2,2
"120",4,2,4,3,3
"121",2,3,2,2,4
"122",4,2,3,3,1
"123",3,2,4,2,4
"124",1,1,1,1,1
"125",3,1,3,3,2
"126",4,3,3,2,2
"127",4,3,3,3,4
"128",1,2,2,1,1
"129",1,1,3,3,2
"130",2,2,4,2,4
"131",1,1,1,2,2
"132",1,2,2,2,4
"133",3,3,4,3,4
"134",2,3,2,3,3
"135",3,2,2,3,3
"136",3,3,3,3,3
"137",1,2,3,2,3
"138",2,1,4,3,1
"139",4,1,4,2,4
"140",2,2,4,1,2
"141",1,1,4,2,2
"142",1,1,2,2,2
"143",1,2,3,2,3
"144",3,3,2,1,2
"145",2,2,2,2,2
"146",2,3,2,1,1
"147",3,2,3,2,4
"148",4,2,3,2,3
"149",1,3,3,2,1
"150",2,1,1,2,2
"151",2,1,1,1,1
"152",1,3,1,3,3
"153",1,1,4,1,4
"154",2,1,3,1,2
"155",3,1,4,2,2
"156",3,2,4,2,4
"157",4,1,1,1,1
"158",4,1,2,2,2
"159",3,1,1,1,1
"160",1,1,1,3,1
"161",3,2,3,2,2
"162",3,1,3,3,2
"163",1,1,3,1,1
"164",4,2,1,1,4
"165",1,2,3,2,3
"166",1,3,2,2,3
"167",1,2,2,2,1
"168",1,2,2,2,3
"169",2,2,1,1,3
"170",4,3,3,2,3
"171",2,1,2,2,2
"172",2,2,3,1,4
"173",4,1,4,2,4
"174",2,1,2,2,2
"175",3,3,4,2,4
"176",2,3,2,2,2
"177",1,3,1,1,3
"178",3,3,3,1,3
"179",3,3,2,2,2
"180",2,2,2,2,2
"181",2,1,3,1,1
"182",3,2,1,1,1
"183",1,1,2,1,3
"184",2,2,1,2,1
"185",2,3,3,2,2
"186",4,2,2,3,3
"187",3,2,1,2,2
"188",2,3,4,3,4
"189",3,3,2,3,3
"190",4,3,3,3,2
"191",3,1,1,2,1
"192",1,3,3,3,3
"193",2,2,3,2,3
"194",3,1,2,2,2
"195",4,3,3,3,4
"196",2,2,3,3,1
"197",3,2,4,2,3
"198",4,2,3,2,4
"199",3,2,2,1,2
"200",3,1,2,1,4
"201",1,3,3,2,1
"202",2,2,3,2,4
"203",4,3,2,1,2
"204",1,3,4,3,4
"205",1,2,2,3,1
"206",3,2,1,2,4
"207",4,3,4,3,4
"208",2,3,4,3,4
"209",2,2,1,2,1
"210",2,1,1,1,1
"211",4,1,2,2,2
"212",3,3,3,3,4
"213",3,2,4,2,3
"214",2,1,1,1,2
"215",1,1,1,2,1
"216",2,2,3,2,4
"217",3,3,4,2,2
"218",3,3,4,2,3
"219",1,2,4,3,4
"220",2,1,2,2,4
"221",2,1,1,1,1
"222",1,1,1,1,1
"223",3,2,2,3,4
"224",4,2,4,3,3
"225",4,3,2,3,4
"226",2,1,3,1,1
"227",4,2,4,3,4
"228",3,1,4,2,3
"229",4,2,4,3,4
"230",3,1,4,2,3
"231",4,2,4,1,3
"232",3,1,4,1,3
"233",1,3,1,1,4
"234",1,1,1,1,2
"235",1,2,2,1,2
"236",2,3,3,2,2
"237",3,1,3,2,2
"238",3,1,1,2,2
"239",3,2,1,2,3
"240",3,2,1,2,2
"241",2,2,1,1,2
"242",2,3,2,2,2
"243",2,1,1,1,4
"244",2,3,3,3,4
"245",4,3,2,2,4
"246",2,3,4,3,2
"247",1,2,4,1,3
"248",1,1,2,3,2
"249",2,1,3,2,1
"250",3,2,3,1,2
"251",1,1,4,3,1
"252",3,3,1,2,3
"253",2,2,1,1,3
"254",3,1,2,1,1
"255",4,3,4,2,4
"256",4,3,2,2,2
"257",4,2,3,2,4
"258",4,2,1,2,4
"259",4,1,1,2,1
"260",1,2,3,1,2
"261",4,1,2,2,4
"262",4,3,4,2,4
"263",1,2,2,3,2
"264",2,2,3,2,2
"265",1,2,2,1,2
"266",2,3,1,2,4
"267",4,3,2,3,4
"268",4,2,1,2,2
"269",4,2,4,2,4
"270",3,2,3,2,1
"271",1,1,3,3,1
"272",1,2,2,2,2
"273",2,2,2,2,2
"274",4,3,3,3,3
"275",1,3,1,1,1
"276",3,3,2,2,2
"277",3,3,3,3,3
"278",4,2,4,3,4
"279",2,3,4,3,3
"280",2,2,1,1,1
"281",1,2,4,1,3
"282",4,1,3,1,2
"283",1,1,2,1,1
"284",4,2,2,2,1
"285",1,3,1,2,1
"286",2,3,3,2,2
"287",2,3,4,3,4
"288",4,1,4,1,3
"289",3,1,2,2,2
"290",2,3,4,2,1
"291",4,1,1,3,3
"292",3,1,3,2,3
"293",4,2,3,3,4
"294",3,1,3,1,3
"295",2,2,1,2,2
"296",2,2,2,1,1
"297",4,2,2,3,2
"298",3,3,3,2,4
"299",3,3,3,2,3
"300",2,2,4,3,1
"301",3,3,3,2,3
"302",3,2,3,2,1
"303",2,1,2,3,1
"304",1,2,3,2,1
"305",3,2,3,3,4
"306",4,3,1,2,2
"307",2,1,1,1,2
"308",2,2,1,1,1
"309",1,2,2,2,3
"310",3,3,3,2,3
"311",1,1,2,1,1
"312",2,1,2,1,2
"313",4,2,3,2,2
"314",3,3,3,3,4
"315",2,2,1,1,1
"316",2,1,2,2,3
"317",1,2,1,2,4
"318",3,3,2,2,3
"319",3,2,3,3,4
"320",1,1,2,2,4
"321",1,1,3,2,1
